sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
141;BME280;65;48.778;9.160;2020-01-01T00:00:28;100101.00;;;4.28;78.38
141;BME280;65;48.778;9.160;2020-01-01T00:02:55;100101.00;;;4.13;78.62
141;BME280;65;48.778;9.160;2020-01-01T00:05:20;100099.00;;;4.16;78.67
141;BME280;65;48.778;9.160;2020-01-01T00:07:46;100097.00;;;4.03;79.82
141;BME280;65;48.778;9.160;2020-01-01T00:10:12;100101.00;;;4.05;79.84
141;BME280;65;48.778;9.160;2020-01-01T00:13:03;100104.00;;;4.01;80.57
141;BME280;65;48.778;9.160;2020-01-01T00:15:32;100100.00;;;4.06;80.43
141;BME280;65;48.778;9.160;2020-01-01T00:17:58;100093.00;;;4.11;79.88
141;BME280;65;48.778;9.160;2020-01-01T00:20:24;100094.00;;;4.14;79.78
141;BME280;65;48.778;9.160;2020-01-01T00:22:50;100097.00;;;4.18;80.45
141;BME280;65;48.778;9.160;2020-01-01T00:25:16;100099.00;;;4.42;78.84
141;BME280;65;48.778;9.160;2020-01-01T00:27:42;100102.00;;;4.50;77.93
141;BME280;65;48.778;9.160;2020-01-01T00:30:08;100093.00;;;4.54;77.71
141;BME280;65;48.778;9.160;2020-01-01T00:32:33;100088.00;;;4.63;77.86
141;BME280;65;48.778;9.160;2020-01-01T00:34:59;100072.00;;;4.63;76.66
141;BME280;65;48.778;9.160;2020-01-01T00:37:25;100080.00;;;4.58;77.43
141;BME280;65;48.778;9.160;2020-01-01T00:39:50;100081.00;;;4.36;78.61
141;BME280;65;48.778;9.160;2020-01-01T00:42:16;100080.00;;;4.46;78.20
141;BME280;65;48.778;9.160;2020-01-01T00:44:42;100073.00;;;4.45;78.29
141;BME280;65;48.778;9.160;2020-01-01T00:47:08;100075.00;;;4.37;79.08
141;BME280;65;48.778;9.160;2020-01-01T00:49:33;100083.00;;;4.23;79.69
141;BME280;65;48.778;9.160;2020-01-01T00:51:59;100089.00;;;4.15;80.03
141;BME280;65;48.778;9.160;2020-01-01T00:54:25;100088.00;;;4.34;79.46
141;BME280;65;48.778;9.160;2020-01-01T00:56:50;100078.00;;;4.39;78.83
141;BME280;65;48.778;9.160;2020-01-01T00:59:16;100084.00;;;4.17;80.45
141;BME280;65;48.778;9.160;2020-01-01T01:01:42;100090.00;;;4.08;80.22
141;BME280;65;48.778;9.160;2020-01-01T01:04:10;100079.00;;;4.06;81.33
141;BME280;65;48.778;9.160;2020-01-01T01:06:44;100079.00;;;4.30;80.23
141;BME280;65;48.778;9.160;2020-01-01T01:09:12;100078.00;;;4.30;79.16
141;BME280;65;48.778;9.160;2020-01-01T01:11:38;100080.00;;;4.43;78.38
141;BME280;65;48.778;9.160;2020-01-01T01:14:04;100075.00;;;4.40;78.02
141;BME280;65;48.778;9.160;2020-01-01T01:16:30;100086.00;;;4.24;79.25
141;BME280;65;48.778;9.160;2020-01-01T01:18:55;100087.00;;;4.31;78.43
141;BME280;65;48.778;9.160;2020-01-01T01:21:21;100096.00;;;4.30;78.22
141;BME280;65;48.778;9.160;2020-01-01T01:23:47;100086.00;;;4.23;78.34
141;BME280;65;48.778;9.160;2020-01-01T01:26:12;100088.00;;;4.19;78.25
141;BME280;65;48.778;9.160;2020-01-01T01:28:38;100083.00;;;4.13;77.64
141;BME280;65;48.778;9.160;2020-01-01T01:31:50;100095.00;;;4.06;78.63
141;BME280;65;48.778;9.160;2020-01-01T01:34:16;100097.00;;;4.00;78.83
141;BME280;65;48.778;9.160;2020-01-01T01:36:42;100083.00;;;3.99;78.97
141;BME280;65;48.778;9.160;2020-01-01T01:39:19;100083.00;;;3.85;79.37
141;BME280;65;48.778;9.160;2020-01-01T01:41:45;100088.00;;;3.44;81.84
141;BME280;65;48.778;9.160;2020-01-01T01:44:11;100090.00;;;3.43;81.87
141;BME280;65;48.778;9.160;2020-01-01T01:46:36;100087.00;;;3.44;81.89
141;BME280;65;48.778;9.160;2020-01-01T01:49:02;100097.00;;;3.50;82.15
141;BME280;65;48.778;9.160;2020-01-01T01:51:28;100089.00;;;3.51;81.95
141;BME280;65;48.778;9.160;2020-01-01T01:53:53;100098.00;;;3.39;82.87
141;BME280;65;48.778;9.160;2020-01-01T01:56:19;100108.00;;;3.29;83.66
141;BME280;65;48.778;9.160;2020-01-01T01:58:45;100102.00;;;3.30;83.85
141;BME280;65;48.778;9.160;2020-01-01T02:01:11;100108.00;;;3.51;82.67
141;BME280;65;48.778;9.160;2020-01-01T02:03:37;100107.00;;;3.56;82.42
141;BME280;65;48.778;9.160;2020-01-01T02:06:03;100109.00;;;3.57;82.18
141;BME280;65;48.778;9.160;2020-01-01T02:08:28;100113.00;;;3.60;82.08
141;BME280;65;48.778;9.160;2020-01-01T02:10:54;100109.00;;;3.61;82.01
141;BME280;65;48.778;9.160;2020-01-01T02:13:20;100108.00;;;3.53;82.28
141;BME280;65;48.778;9.160;2020-01-01T02:15:45;100115.00;;;3.48;83.26
141;BME280;65;48.778;9.160;2020-01-01T02:18:11;100112.00;;;3.67;81.98
141;BME280;65;48.778;9.160;2020-01-01T02:20:37;100121.00;;;3.64;81.76
141;BME280;65;48.778;9.160;2020-01-01T02:23:03;100110.00;;;3.69;81.82
141;BME280;65;48.778;9.160;2020-01-01T02:25:28;100109.00;;;3.61;81.69
141;BME280;65;48.778;9.160;2020-01-01T02:27:54;100103.00;;;3.30;84.29
141;BME280;65;48.778;9.160;2020-01-01T02:30:20;100106.00;;;3.47;82.34
141;BME280;65;48.778;9.160;2020-01-01T02:32:45;100102.00;;;3.46;81.77
141;BME280;65;48.778;9.160;2020-01-01T02:35:11;100104.00;;;3.41;82.35
141;BME280;65;48.778;9.160;2020-01-01T02:37:37;100099.00;;;3.38;82.93
141;BME280;65;48.778;9.160;2020-01-01T02:40:03;100090.00;;;3.43;82.69
141;BME280;65;48.778;9.160;2020-01-01T02:42:28;100086.00;;;3.12;83.71
141;BME280;65;48.778;9.160;2020-01-01T02:44:54;100076.00;;;3.12;84.89
141;BME280;65;48.778;9.160;2020-01-01T02:47:19;100083.00;;;3.35;83.66
141;BME280;65;48.778;9.160;2020-01-01T02:49:45;100081.00;;;3.26;83.65
141;BME280;65;48.778;9.160;2020-01-01T02:52:11;100081.00;;;2.96;85.81
141;BME280;65;48.778;9.160;2020-01-01T02:54:36;100081.00;;;3.03;86.32
141;BME280;65;48.778;9.160;2020-01-01T02:57:02;100080.00;;;2.88;86.77
141;BME280;65;48.778;9.160;2020-01-01T02:59:28;100074.00;;;2.80;87.70
141;BME280;65;48.778;9.160;2020-01-01T03:01:53;100065.00;;;2.72;89.12
141;BME280;65;48.778;9.160;2020-01-01T03:04:19;100074.00;;;2.83;88.69
141;BME280;65;48.778;9.160;2020-01-01T03:06:45;100080.00;;;2.85;87.56
141;BME280;65;48.778;9.160;2020-01-01T03:09:10;100068.00;;;2.79;88.04
141;BME280;65;48.778;9.160;2020-01-01T03:11:36;100066.00;;;2.88;87.68
141;BME280;65;48.778;9.160;2020-01-01T03:14:02;100070.00;;;2.85;88.19
